Ah́emi|phraseology|przepraszam|en:I am sorry.
Aḿachagi a|phraseology|przespać się (z kimś)|en:to sleep with somebody
Aḿachagi chu|phraseology|przespać coś|en:to oversleep something
Che recha|phraseology|to wszystko, tylko tyle, to i już, nic więcej|en:that's all
Epi rori|phraseology|wydawać się|en:seem to be
Esi gir on|phraseology|być złym na (coś, kogoś)|en:be mad at somebody
Fo tyi lipet|phraseology|dla twojego dobra|en:for your own good
Ge uýut|phraseology|zostać uciszonym|en:to be silenced
Gusti dyet|phraseology|Cieszyć się (z powodu czegoś), być podekscytowanym z powodu czegoś|en:to be happy about something, to be excited on something
Ieni au|phraseology|Pochodzić z (skądś)|en:to be born in somewhere
Inuri a|phraseology|Robić coś zwykle, być przyzwyczajonym do czegoś, być zwykłym do czegoś|en:to be used to do something
Isdat alhyi isture|phraseology|VAT|en:Value Added Tax
Kipeniti a|phraseology|Wzorować się na czymś|en:to take pattern on something
Lipe kay|phraseology|dobranoc|en:Good Night
Lipe tay|phraseology|dobrego dnia|en:Good Day
Lipe zevoyim|phraseology|dobrego poranka|en:Good Morning
Live|phraseology|naprzód! Do przodu!|en:Forward!
Okupao mejeri|phraseology|Pozbywać się problemu, rozwiązywać problem|en:to solve a problem
Rigati|phraseology|dziękuję|en:thank you
Seysei choke chu ti|phraseology|miło było ciebie poznać|en:it was nice to see you
Tebatte|phraseology|powinieneś, powinnaś, należy (coś zrobić)|en:you should do it, something should be done
Trank arkai|phraseology|Panuje pokój|en:Peaceful time it is
Vek baán|phraseology|dawno temu, stare dzieje|en:a long time ago
Vige choke tay|phraseology|miłego dnia|en:have a nice day
Vige menede|phraseology|na zdrowie|en:bless you!
Vige sekupa vayara|phraseology|bezpiecznej podróży|en:have a good trip!
Vige veydi|phraseology|do widzenia|en:see you!
X razi|phraseology|ileś razy, X razy|en:X times
Yeécho|phraseology|oczywiście|en:of course
Zaimi|phraseology|żegnaj|en:bye-bye
Zay|phraseology|pa, papa|en:bye
Zayzay|phraseology|pa-pa|en:bye-bye
